dataset,year,file,rule,axis,score,n_voters,active_voters,n_candidates
HSC,France 2017,approval.csv,Minimal Flips,Jean Lassalle < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Nicolas Dupont-Aignan < Marine Le Pen,135.0,711,480,7
HSC,France 2017,approval.csv,Ballot Completion,Jean Lassalle < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Nicolas Dupont-Aignan < Marine Le Pen,227.0,711,480,7
HSC,France 2017,approval.csv,Minimal Swaps,Jean Lassalle < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Nicolas Dupont-Aignan < Marine Le Pen,231.0,711,480,7
HSC,France 2017,approval.csv,Forbidden Triples,Jean Lassalle < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Nicolas Dupont-Aignan < Marine Le Pen,360.0,711,480,7
Online,France 2017,approval.csv,Voter Deletion,Marine Le Pen < Nicolas Dupont-Aignan < François Fillon < Emmanuel Macron < Benoît Hamon < Jean-Luc Mélenchon < Jean Lassalle,2504.0,20076,14721,7
Online,France 2017,approval.csv,Minimal Flips,Marine Le Pen < Nicolas Dupont-Aignan < François Fillon < Emmanuel Macron < Benoît Hamon < Jean-Luc Mélenchon < Jean Lassalle,2740.0,20076,14721,7
Online,France 2017,approval.csv,Ballot Completion,Marine Le Pen < Nicolas Dupont-Aignan < François Fillon < Emmanuel Macron < Benoît Hamon < Jean-Luc Mélenchon < Jean Lassalle,4346.0,20076,14721,7
Online,France 2017,approval.csv,Minimal Swaps,Marine Le Pen < Nicolas Dupont-Aignan < François Fillon < Emmanuel Macron < Benoît Hamon < Jean-Luc Mélenchon < Jean Lassalle,4605.0,20076,14721,7
Online,France 2017,approval.csv,Forbidden Triples,Marine Le Pen < François Fillon < Nicolas Dupont-Aignan < Emmanuel Macron < Benoît Hamon < Jean-Luc Mélenchon < Jean Lassalle,8393.0,20076,14721,7
Strasbourg,France 2017,approval.csv,Voter Deletion,Jean Lassalle < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Nicolas Dupont-Aignan < Marine Le Pen,187.0,1071,703,7
Strasbourg,France 2017,approval.csv,Minimal Flips,Jean Lassalle < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Nicolas Dupont-Aignan < Marine Le Pen,209.0,1071,703,7
Strasbourg,France 2017,approval.csv,Ballot Completion,Jean Lassalle < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Nicolas Dupont-Aignan < Marine Le Pen,322.0,1071,703,7
Strasbourg,France 2017,approval.csv,Minimal Swaps,Jean Lassalle < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Nicolas Dupont-Aignan < Marine Le Pen,330.0,1071,703,7
Strasbourg,France 2017,approval.csv,Forbidden Triples,Jean Lassalle < Jean-Luc Mélenchon < Benoît Hamon < Emmanuel Macron < François Fillon < Nicolas Dupont-Aignan < Marine Le Pen,555.0,1071,703,7
Online,France 2022,approval.csv,Voter Deletion,Valérie Pecresse < Emmanuel Macron < Yannick Jadot < Jean-Luc Mélenchon < Jean Lassalle < Marine Le Pen < Eric Zemmour,108.0,1379,905,7
Online,France 2022,approval.csv,Minimal Flips,Valérie Pecresse < Emmanuel Macron < Yannick Jadot < Jean-Luc Mélenchon < Jean Lassalle < Marine Le Pen < Eric Zemmour,124.0,1379,905,7
Online,France 2022,approval.csv,Ballot Completion,Valérie Pecresse < Emmanuel Macron < Yannick Jadot < Jean-Luc Mélenchon < Jean Lassalle < Marine Le Pen < Eric Zemmour,191.0,1379,905,7
Online,France 2022,approval.csv,Minimal Swaps,Valérie Pecresse < Emmanuel Macron < Yannick Jadot < Jean-Luc Mélenchon < Jean Lassalle < Marine Le Pen < Eric Zemmour,201.0,1379,905,7
Online,France 2022,approval.csv,Forbidden Triples,Valérie Pecresse < Emmanuel Macron < Yannick Jadot < Jean-Luc Mélenchon < Jean Lassalle < Marine Le Pen < Eric Zemmour,375.0,1379,905,7
