id,Nathalie Arthaud,François Asselineau,Jacques Cheminade,Nicolas Dupont-Aignan,François Fillon,Benoît Hamon,Jean Lassalle,Marine Le Pen,Emmanuel Macron,Jean-Luc Mélenchon,Philippe Poutou
12014,0,0,0,0,0,0,0,0,0,0,0
12087,0,0,0,0,0,0,0,0,0,1,1
497,0,0,0,0,0,1,0,0,0,1,0
20607,0,0,0,0,0,1,0,0,0,1,1
32753,0,0,0,0,0,1,0,0,1,1,0
25046,0,0,0,0,0,0,0,0,0,1,1
12756,0,0,0,0,0,1,0,0,0,0,0
21326,1,0,0,0,0,1,0,0,0,1,0
605,0,0,0,0,1,0,0,0,1,0,0
21455,0,0,0,0,0,0,0,0,0,0,1
23932,0,0,0,0,0,1,0,0,1,0,1
12567,1,0,0,0,0,1,0,0,0,1,1
15633,0,0,0,0,0,1,0,0,0,1,1
22858,0,0,0,0,0,0,0,0,0,0,0
8123,0,0,0,0,0,1,1,0,0,1,1
24384,0,0,0,0,0,1,0,0,1,1,0
15743,0,0,0,0,0,1,0,0,1,1,0
30508,1,1,1,1,0,1,1,0,0,1,1
5122,0,0,0,0,0,1,0,0,0,1,0
31707,0,0,0,0,0,1,0,0,1,0,0
13397,0,0,1,1,1,0,1,0,1,0,0
7763,1,1,1,1,0,1,1,0,1,1,1
5555,0,0,0,0,0,0,0,0,0,0,0
34171,0,0,0,0,0,1,0,0,1,0,0
7729,0,0,0,0,0,0,0,0,0,0,0
16759,0,0,0,0,0,0,0,0,1,0,0
26472,0,0,0,0,1,1,1,0,1,0,0
7120,0,0,0,0,0,1,0,0,1,1,1
13994,0,0,0,1,0,1,0,0,1,1,0
304,0,0,0,0,0,0,0,0,1,0,0
8365,0,0,0,0,1,0,0,1,0,0,0
3298,0,0,0,0,1,0,0,0,1,0,0
9163,0,0,0,0,0,1,1,0,0,1,0
25892,0,0,0,0,0,1,0,0,1,1,1
16106,0,0,0,0,0,1,0,0,1,1,0
1438,0,0,0,0,0,0,0,0,0,1,1
31029,0,1,0,0,0,1,0,0,1,1,0
26439,0,0,0,0,0,1,0,0,0,1,0
3311,0,0,0,0,0,1,0,0,1,1,0
20528,1,0,0,0,0,0,0,0,0,1,1
21068,0,0,0,0,1,0,0,0,1,0,0
22700,0,0,0,0,0,1,0,0,1,1,1
26783,0,0,0,0,1,0,0,0,1,1,0
6938,0,0,0,0,0,1,0,0,1,1,0
23588,0,0,0,0,0,1,0,0,0,1,0
14277,0,0,0,0,0,1,0,0,0,1,1
1849,0,0,0,0,0,1,0,0,0,0,0
15307,0,0,0,0,0,1,0,0,0,1,1
20963,0,0,0,0,0,1,0,0,0,1,0
12258,0,0,0,0,0,1,1,0,1,0,0
8245,0,0,0,0,0,1,0,0,0,0,1
33583,1,0,0,0,0,1,0,0,0,1,1
14514,0,0,0,0,0,0,0,0,0,1,0
29690,1,0,0,0,0,0,0,0,0,0,1
8299,1,0,0,0,0,1,1,0,0,1,1
7980,0,0,0,0,1,1,0,0,1,0,0
29182,0,0,0,0,0,1,0,0,1,0,0
20194,0,0,0,0,1,0,0,0,0,0,0
3176,0,0,0,0,0,0,0,0,0,0,0
13116,1,0,0,0,0,1,0,0,0,1,0
21549,0,0,0,0,0,1,0,0,1,0,1
27342,0,0,0,0,0,0,0,0,0,1,0
20795,0,0,1,0,0,1,1,0,1,0,0
17452,0,1,0,0,0,1,0,0,0,1,0
7926,0,1,0,0,0,0,0,0,0,0,0
25877,0,0,0,0,0,1,0,0,1,1,0
26596,0,0,0,0,0,1,0,0,0,0,0
8630,0,0,0,0,0,1,0,0,1,0,0
755,0,0,0,0,0,1,0,0,0,1,0
3261,0,0,0,0,0,1,0,0,0,1,0
17058,0,0,0,0,1,0,0,0,1,0,0
13944,1,0,0,0,0,0,0,0,0,1,1
28937,1,0,0,0,0,1,1,0,1,1,1
20483,0,0,1,1,1,0,0,0,1,0,0
210,0,0,0,0,0,0,0,0,1,0,0
9298,0,0,0,0,0,1,0,0,0,1,0
37463,0,0,0,0,0,0,0,0,1,1,0
19852,0,0,0,0,1,0,0,0,1,0,0
9952,0,0,0,0,0,1,0,0,1,0,0
31838,0,1,0,0,0,1,0,0,0,1,0
15729,0,0,1,1,0,1,0,0,0,1,1
29736,0,0,0,0,0,0,0,0,1,0,0
4958,1,1,0,0,0,0,0,0,0,1,1
29497,0,0,0,0,0,1,0,0,0,1,0
29110,1,0,0,0,0,0,0,0,0,1,1
29025,0,0,0,0,0,1,0,0,0,1,1
11376,0,0,0,0,0,1,0,0,1,1,1
31301,0,0,0,0,0,0,0,0,0,1,1
18683,0,0,0,0,0,1,0,0,0,1,1
14332,0,0,0,0,0,1,0,0,0,0,0
6584,1,0,0,0,0,1,0,0,1,1,1
1472,0,0,0,0,1,0,0,0,1,0,0
28973,0,0,0,0,0,1,0,0,0,1,1
3717,0,0,0,0,0,1,0,0,1,0,0
17067,0,0,0,0,1,0,0,0,1,0,0
30226,1,0,0,0,0,1,0,0,0,1,1
30770,1,0,0,0,0,1,1,0,0,1,1
10864,1,1,0,0,0,1,1,0,0,1,0
11051,0,0,0,0,1,0,1,0,1,0,0
2339,0,0,0,0,0,1,1,0,0,1,0
23966,0,0,0,0,0,0,0,0,0,1,0
22310,0,0,0,0,0,0,0,0,0,1,1
29739,0,0,0,0,0,1,0,0,0,1,0
9816,0,0,0,0,0,1,0,0,0,1,0
25180,1,0,0,0,0,1,0,0,0,0,1
11103,0,0,0,0,0,1,0,0,1,1,1
28484,0,0,0,0,0,0,0,0,0,1,1
15445,0,0,0,0,0,1,0,0,1,0,0
10036,0,0,0,0,1,1,0,0,1,1,0
9160,0,0,0,0,0,1,0,0,0,1,0
9424,0,0,0,0,0,1,0,0,0,1,1
32847,0,0,0,0,0,0,0,0,1,0,0
28431,0,0,0,0,0,1,0,0,0,0,0
3089,1,0,0,0,0,0,0,0,0,1,1
27684,1,0,0,0,0,0,0,0,0,1,1
11545,0,0,0,0,1,0,0,0,0,1,0
28686,0,0,0,0,0,1,0,0,0,1,1
24272,0,0,0,0,0,1,0,0,0,1,1
25826,1,0,0,0,0,1,0,0,0,1,1
21746,0,0,0,0,0,1,0,0,0,1,1
1503,0,0,0,0,0,1,0,0,1,0,1
1674,0,0,0,0,0,1,0,0,0,0,0
8962,1,1,0,1,0,0,0,0,1,1,1
