id,Nicolas Dupont-Aignan,Marine Le Pen,Emmanuel Macron,Benoît Hamon,Nathalie Arthaud,Philippe Poutou,Jacques Cheminade,Jean Lassalle,Jean-Luc Mélenchon,François Asselineau,François Fillon
1495,1,0,0,1,0,0,0,0,1,0,0
1496,1,0,0,1,0,0,0,0,1,1,0
1497,1,0,0,0,0,0,0,0,0,0,1
1498,1,0,1,0,0,0,0,0,0,0,1
1499,1,0,1,0,0,0,0,0,0,0,0
1500,1,0,1,1,0,0,0,0,1,0,1
1501,0,0,1,1,0,0,0,0,0,0,0
1502,1,1,0,1,0,0,0,0,0,0,0
1503,0,0,1,1,0,0,0,0,0,0,0
1504,0,1,1,0,0,0,0,0,0,0,1
1505,0,0,1,1,1,1,0,1,1,0,0
1506,0,0,0,0,0,0,0,0,0,0,1
1507,0,0,1,1,0,0,0,0,0,0,1
1508,0,0,1,0,0,0,0,0,1,0,0
1509,0,1,0,0,0,0,0,0,0,0,1
1510,0,0,1,1,0,0,0,1,0,1,1
1511,1,0,1,0,0,1,1,1,0,0,0
1512,0,0,0,0,0,0,0,0,0,0,0
1513,1,0,1,1,0,0,1,0,0,0,0
1514,0,0,0,0,0,0,0,0,0,0,0
1515,0,1,0,0,0,0,0,0,0,0,0
1516,1,0,1,0,0,0,0,0,0,0,1
1517,0,1,0,0,0,0,0,0,0,0,1
1518,1,1,1,0,0,0,0,0,0,0,1
1519,0,0,0,0,1,1,0,0,1,0,0
1520,0,0,1,1,0,0,0,0,1,0,0
1521,0,0,1,0,0,0,0,0,1,0,0
1522,0,0,1,0,0,0,0,0,1,0,0
1523,0,0,1,0,0,0,0,0,1,0,0
1524,0,0,0,0,0,0,0,0,0,0,0
1525,0,0,1,0,0,0,0,0,0,0,0
1526,1,0,1,1,0,1,0,0,1,0,0
1527,1,1,0,0,0,0,0,1,0,0,1
1528,0,0,1,0,0,0,0,1,0,0,0
1529,1,0,0,0,0,0,0,0,0,0,1
1530,0,0,1,1,1,1,1,0,1,0,0
