id,Nicolas Dupont-Aignan,Marine Le Pen,Emmanuel Macron,Benoît Hamon,Nathalie Arthaud,Philippe Poutou,Jacques Cheminade,Jean Lassalle,Jean-Luc Mélenchon,François Asselineau,François Fillon
173,0,0,1,1,1,1,0,0,1,0,0
174,0,0,1,1,1,1,0,0,1,0,0
175,0,0,0,1,0,0,0,0,1,0,0
176,0,0,1,1,1,1,0,0,0,0,0
177,0,0,1,1,0,0,0,0,0,0,1
178,1,1,0,0,0,0,1,0,0,1,0
179,1,0,0,1,0,1,0,0,1,0,0
180,0,0,0,1,0,1,0,1,1,0,0
181,0,0,1,0,0,0,0,0,1,0,0
182,0,0,1,0,0,0,0,0,1,0,0
183,0,0,1,1,0,0,0,1,0,0,0
184,0,0,1,1,0,0,0,1,0,0,0
185,0,0,1,0,0,0,0,0,0,0,0
186,0,0,1,0,0,1,0,0,1,0,0
187,0,0,1,1,0,0,0,0,0,0,1
188,0,0,1,1,0,0,0,0,1,0,1
189,1,0,1,0,0,0,0,0,0,1,1
190,0,0,0,1,0,1,0,0,1,0,0
191,1,0,0,1,0,0,0,0,1,0,0
192,0,0,0,1,0,0,0,0,1,0,0
193,0,0,1,0,1,0,0,0,0,0,0
194,0,0,1,1,0,0,0,0,0,0,0
195,0,0,0,0,0,1,0,0,1,1,0
196,1,0,1,0,0,0,1,0,1,1,0
197,0,0,0,1,0,0,0,0,1,0,0
198,0,0,1,1,0,0,0,0,1,0,0
199,0,0,1,1,0,0,0,0,0,0,0
200,0,1,0,0,0,0,0,0,0,0,1
201,0,0,0,0,0,1,0,0,1,1,1
202,0,0,1,1,0,0,0,0,0,0,1
203,0,0,0,0,0,0,0,0,0,0,0
204,0,0,1,1,0,0,0,0,1,0,0
205,0,0,1,0,0,0,0,0,1,0,0
206,0,0,0,0,0,0,1,1,1,0,0
207,0,0,1,1,0,0,0,0,0,0,0
208,0,0,1,1,0,0,0,0,1,0,0
209,0,0,0,0,0,0,0,0,0,0,1
210,0,0,1,0,0,0,0,0,0,0,0
211,0,0,0,0,1,0,0,0,1,0,0
212,0,0,0,1,0,1,0,0,1,0,0
213,0,0,1,1,0,0,0,0,1,0,0
214,0,1,0,0,0,0,0,0,1,1,0
